ods_code,ods_name,has_ae_last_six_months,used_aa
RWH,East And North Hertfordshire Teaching NHS Trust,True,True
RJN,East Cheshire NHS Trust,True,True
RVV,East Kent Hospitals University NHS Foundation Trust,True,True
RXR,East Lancashire Hospitals NHS Trust,True,True
RDE,East Suffolk And North Essex NHS Foundation Trust,True,True
RXC,East Sussex Healthcare NHS Trust,True,True
RVR,Epsom And St Helier University Hospitals NHS Trust,True,True
RDU,Frimley Health NHS Foundation Trust,True,True
RR7,Gateshead Health NHS Foundation Trust,True,True
RLT,George Eliot Hospital NHS Trust,True,True
RTE,Gloucestershire Hospitals NHS Foundation Trust,True,True
RN3,Great Western Hospitals NHS Foundation Trust,True,True
RJ1,Guy's And St Thomas' NHS Foundation Trust,True,True
RN5,Hampshire Hospitals NHS Foundation Trust,True,True
RCD,Harrogate And District NHS Foundation Trust,True,True
RQX,Homerton Healthcare NHS Foundation Trust,True,False
RWA,Hull University Teaching Hospitals NHS Trust,True,True
RYJ,Imperial College Healthcare NHS Trust,True,True
R1F,Isle Of Wight NHS Trust,True,True
RGP,James Paget University Hospitals NHS Foundation Trust,True,True
RNQ,Kettering General Hospital NHS Foundation Trust,True,True
RJZ,King's College Hospital NHS Foundation Trust,True,True
RAX,Kingston And Richmond NHS Foundation Trust,True,True
RXN,Lancashire Teaching Hospitals NHS Foundation Trust,True,True
RR8,Leeds Teaching Hospitals NHS Trust,True,True
RJ2,Lewisham And Greenwich NHS Trust,True,True
REM,Liverpool University Hospitals NHS Foundation Trust,True,True
R1K,London North West University Healthcare NHS Trust,True,True
RWF,Maidstone And Tunbridge Wells NHS Trust,True,True
R0A,Manchester University NHS Foundation Trust,True,True
RPA,Medway NHS Foundation Trust,True,True
RBN,Mersey And West Lancashire Teaching Hospitals NHS Trust,True,True
RAJ,Mid And South Essex NHS Foundation Trust,True,True
RBT,Mid Cheshire Hospitals NHS Foundation Trust,True,True
RXF,Mid Yorkshire Teaching NHS Trust,True,True
RD8,Milton Keynes University Hospital NHS Foundation Trust,True,True
RM1,Norfolk And Norwich University Hospitals NHS Foundation Trust,True,True
RVJ,North Bristol NHS Trust,True,True
RNN,North Cumbria Integrated Care NHS Foundation Trust,True,True
RVW,North Tees And Hartlepool NHS Foundation Trust,True,True
RGN,North West Anglia NHS Foundation Trust,True,True
RNS,Northampton General Hospital NHS Trust,True,True
RM3,Northern Care Alliance NHS Foundation Trust,True,True
RJL,Northern Lincolnshire And Goole NHS Foundation Trust,True,True
RTF,Northumbria Healthcare NHS Foundation Trust,True,True
RX1,Nottingham University Hospitals NHS Trust,True,True
RTH,Oxford University Hospitals NHS Foundation Trust,True,True
RHU,Portsmouth Hospitals University NHS Trust,True,True
RHW,Royal Berkshire NHS Foundation Trust,True,True
REF,Royal Cornwall Hospitals NHS Trust,True,True
RH8,Royal Devon University Healthcare NHS Foundation Trust,True,True
RAL,Royal Free London NHS Foundation Trust,True,True
RA2,Royal Surrey NHS Foundation Trust,True,True
RD1,Royal United Hospitals Bath NHS Foundation Trust,True,True
RNZ,Salisbury NHS Foundation Trust,True,True
RXK,Sandwell And West Birmingham Hospitals NHS Trust,True,True
RCU,Sheffield Children's NHS Foundation Trust,True,False
RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,True,True
RK5,Sherwood Forest Hospitals NHS Foundation Trust,True,True
RH5,Somerset NHS Foundation Trust,True,True
RTR,South Tees Hospitals NHS Foundation Trust,True,True
R0B,South Tyneside And Sunderland NHS Foundation Trust,True,True
RJC,South Warwickshire University NHS Foundation Trust,True,True
RJ7,St George's University Hospitals NHS Foundation Trust,True,True
RWJ,Stockport NHS Foundation Trust,True,True
RTP,Surrey And Sussex Healthcare NHS Trust,True,True
RMP,Tameside And Glossop Integrated Care NHS Foundation Trust,True,True
RNA,The Dudley Group NHS Foundation Trust,True,True
RAS,The Hillingdon Hospitals NHS Foundation Trust,True,True
RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,True,True
RQW,The Princess Alexandra Hospital NHS Trust,True,True
RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",True,True
RFR,The Rotherham NHS Foundation Trust,True,True
RL4,The Royal Wolverhampton NHS Trust,True,True
